Period,Return
12/31/2002,-0.040972451
1/31/2003,-0.022383397
2/28/2003,-0.033831739
3/31/2003,0.014643463
4/30/2003,0.133886788
5/30/2003,0.104112332
6/30/2003,0.022841852
7/31/2003,0.036835256
8/29/2003,0.045827589
9/30/2003,-0.010860035
10/31/2003,0.080787063
11/28/2003,0.039770596
12/31/2003,0.042976376
1/30/2004,0.030773398
2/27/2004,0.021937653
3/31/2004,0.009921231
4/30/2004,-0.043605728
5/31/2004,0.017343493
6/30/2004,0.040500242
7/30/2004,-0.042399871
8/31/2004,0.001279328
9/30/2004,0.032617531
10/29/2004,0.017677282
11/30/2004,0.084345299
12/31/2004,0.038464957
1/31/2005,-0.029580812
2/28/2005,0.024349372
3/31/2005,-0.015339272
4/29/2005,-0.04358676
5/31/2005,0.066395197
6/30/2005,0.033814843
7/29/2005,0.05532342
8/31/2005,-0.017691341
9/30/2005,-0.004728128
10/31/2005,-0.036842311
11/30/2005,0.040053325
12/30/2005,8.02395E-05
1/31/2006,0.062297874
2/28/2006,-0.00485702
3/31/2006,0.033517042
4/28/2006,0.008527889
5/31/2006,-0.036562051
6/30/2006,-0.002329335
7/31/2006,-0.024472394
8/31/2006,0.020532589
9/29/2006,0.013054642
10/31/2006,0.0477092
11/30/2006,0.03476648
12/29/2006,0.006713281
1/31/2007,0.028934538
2/28/2007,0.004090278
3/30/2007,0.010435971
4/30/2007,0.029740443
5/31/2007,0.045805913
6/29/2007,-0.021953183
7/31/2007,-0.070229836
8/31/2007,0.001979849
9/28/2007,0.008868461
10/31/2007,0.014493744
11/30/2007,-0.067765771
12/31/2007,-0.013257887
1/31/2008,-0.031446472
2/29/2008,-0.043802543
3/31/2008,-0.008932241
4/30/2008,0.048444748
5/30/2008,0.038655775
6/30/2008,-0.120026581
7/31/2008,0.025301182
8/29/2008,0.051705282
9/30/2008,-0.090142649
10/31/2008,-0.218983906
11/28/2008,-0.091462935
12/31/2008,0.069640755
1/30/2009,-0.113440108
2/27/2009,-0.142690132
3/31/2009,0.139677207
4/30/2009,0.287669642
5/29/2009,0.094597505
6/30/2009,-0.001954104
7/31/2009,0.114942397
8/31/2009,0.076903621
9/30/2009,0.071006991
10/30/2009,-0.0715088
11/30/2009,0.038053945
12/31/2009,0.078225322
1/29/2010,-0.024455561
2/26/2010,0.05005988
3/31/2010,0.082027449
4/30/2010,0.062731781
5/31/2010,-0.084021007
6/30/2010,-0.080575713
7/30/2010,0.076372076
8/31/2010,-0.068787455
9/30/2010,0.116280996
10/29/2010,0.040023679
11/30/2010,0.032430408
12/31/2010,0.084264059
1/31/2011,0.010559603
2/28/2011,0.049654362
3/31/2011,0.016922424
4/29/2011,0.021210555
5/31/2011,-0.018533204
6/30/2011,-0.020872423
7/29/2011,-0.036093296
8/31/2011,-0.086069701
9/30/2011,-0.113771185
10/31/2011,0.148371075
11/30/2011,-0.001299497
12/30/2011,0.005152928
1/31/2012,0.068805895
2/29/2012,0.035666606
3/30/2012,0.017807666
4/30/2012,-0.011504929
5/31/2012,-0.071879993
6/29/2012,0.03882859
7/31/2012,-0.015027739
8/31/2012,0.03871567
9/28/2012,0.03136939
10/31/2012,-0.006507107
11/30/2012,0.016409596
12/31/2012,0.036435117
1/31/2013,0.072444864
2/28/2013,0.010023646
3/29/2013,0.051780774
4/30/2013,0.003823538
5/31/2013,0.044455153
6/28/2013,-0.011285862
7/31/2013,0.068748812
8/30/2013,-0.034265419
9/30/2013,0.057424492
10/31/2013,0.038257708
11/29/2013,0.033599949
12/31/2013,0.023443938
1/31/2014,-0.031175345
2/28/2014,0.048642628
3/31/2014,0.011438675
4/30/2014,-0.015802339
5/30/2014,0.009263302
6/30/2014,0.044252717
7/31/2014,-0.046804776
8/29/2014,0.047910997
9/30/2014,-0.060800032
10/31/2014,0.041267093
11/28/2014,0.002186033
12/31/2014,0.013666712
1/30/2015,-0.04000474
2/27/2015,0.065440012
3/31/2015,0.009543291
4/30/2015,-0.011777206
5/29/2015,0.011499186
6/30/2015,-0.014753448
7/31/2015,-0.025005904
8/31/2015,-0.046160751
9/30/2015,-0.049886689
10/30/2015,0.061538569
11/30/2015,0.017624172
12/31/2015,-0.059969891
1/29/2016,-0.075683765
2/29/2016,0.019365693
3/31/2016,0.102760759
4/29/2016,0.034189244
5/31/2016,0.001205405
6/30/2016,-0.006976694
7/29/2016,0.052142572
8/31/2016,0.012509555
9/30/2016,0.006978923
10/31/2016,-0.039024244
11/30/2016,0.12263521
12/30/2016,0.029577612
1/31/2017,0.005970708
2/28/2017,0.012670462
3/31/2017,-0.010664157
4/28/2017,-0.000640887
5/31/2017,-0.027952152
6/30/2017,0.026205318
7/31/2017,0.008814886
8/31/2017,-0.020660766
9/29/2017,0.061313255
10/31/2017,0.004672202
11/30/2017,0.029595144
12/29/2017,0.00869941
1/31/2018,0.019358301
2/28/2018,-0.052650367
3/30/2018,0.008954998
4/30/2018,0.01154404
5/31/2018,0.050457577
6/29/2018,0.011565872
7/31/2018,0.021610686
8/31/2018,0.026634242
9/28/2018,-0.019948909
10/31/2018,-0.092812125
11/30/2018,0.012985125
12/31/2018,-0.129098219
1/31/2019,0.127487743
2/28/2019,0.041258112
3/29/2019,-0.026050532
4/30/2019,0.039165085
5/31/2019,-0.099936775
6/28/2019,0.074928404
7/31/2019,0.0046551
8/30/2019,-0.062329354
9/30/2019,0.050708521
10/31/2019,0.019635431
11/29/2019,0.03179666
12/31/2019,0.044125894
1/31/2020,-0.060083676
2/28/2020,-0.104636843
3/31/2020,-0.279824012
4/30/2020,0.168779824
5/29/2020,0.055406847
6/30/2020,0.038807652
7/31/2020,0.024450079
8/31/2020,0.062726071
9/30/2020,-0.050661794
10/30/2020,0.04441213
11/30/2020,0.211129509
12/31/2020,0.08013105
1/29/2021,0.064258253
2/26/2021,0.093389356
3/31/2021,0.066495426
4/30/2021,0.032888085
5/31/2021,0.036827636
6/30/2021,-0.012197505
7/30/2021,-0.022655005
8/31/2021,0.022503572
9/30/2021,-0.018353544
10/29/2021,0.041499179
11/30/2021,-0.031307438
12/31/2021,0.049573814
1/31/2022,-0.040848002
2/28/2022,0.019032829
3/31/2022,0.009594225
4/29/2022,-0.066373232
5/31/2022,0.02528629
6/30/2022,-0.104314623
7/29/2022,0.101422825
8/31/2022,-0.027022566
9/30/2022,-0.102149558
10/31/2022,0.124980721
11/30/2022,0.050271242
12/30/2022,-0.060825175
1/31/2023,0.116845188
